,Aqueous species id,Compound name,Charge,ΔfG° (kJ/mol),ΔfH° (kJ/mol),ΔfS° (kJ/K/mol),Cp° (kJ/K/mol),compound_id,dgf_obs
153,CHB_16284_-1,dATP,-1,-2682.4962880000003,-3423.859248,-2.48659922,0.77525336,CHB_16284,-2682.4962880000003
154,CHB_17659_-1,UDP,-1,-2523.504288,-3151.9327200000002,-2.10782428,0.46404744,CHB_17659,-2523.504288
155,CHB_18075_-1,dTDP,-1,-2389.925904,-3018.655584,-2.10886572,0.49291704000000003,CHB_18075,-2389.925904
156,CHB_28850_-1,dUDP2-,-1,-2383.2273200000004,-2975.761216,-1.98742444,0.42710272000000005,CHB_28850,-2383.2273200000004
157,CHB_17239_-1,CDP,-1,-2308.810696,-2951.385232,-2.15526334,0.47032344,CHB_17239,-2308.810696
158,CHB_15846_-1,NAD,-1,-2216.73,-3247.06,-3.4559954999999998,0.71,CHB_15846,-2216.73
159,CHB_16908_-1,NADH,-1,-2207.65,-3274.51,-3.5783755,0.8247000000000001,CHB_16908,-2207.65
160,CHB_17552_-1,GDP,-1,-2205.8801120000003,-2900.7839360000003,-2.3308137,0.58881432,CHB_17552,-2205.8801120000003
161,CHB_28846_-1,dCDP,-1,-2168.5337280000003,-2775.213728,-2.0348634999999997,0.43434104,CHB_28846,-2168.5337280000003
162,CHB_28862_-1,dGDP,-1,-2063.5027760000003,-2739.34848,-2.26685602,0.54948472,CHB_28862,-2063.5027760000003
163,CHB_18361_-1,diphosphate,-1,-2025.11,-2290.37,-0.8896863994633575,0.1564816,CHB_18361,-2025.11
164,CHB_16761_-1,ADP,-1,-1959.153816,-2626.1545440000004,-2.23719146,0.5706976,CHB_16761,-1959.153816
165,CHB_16174_-1,dADP,-1,-1811.433512,-2450.7445279999997,-2.1440713000000002,0.53438048,CHB_16174,-1811.433512
166,CHB_4170_-1,D-glucose 6-phosphate,-1,-1800.59,-2274.64,-1.589971491,,CHB_4170,-1800.59
167,CHB_43896_-1,D-mannose 6-phosphate,-1,-1796.63,-2271.9,-1.594063391,,CHB_43896,-1796.63
168,CHB_61553_-1,D-fructose 6-phosphate,-1,-1796.6,-2263.37,-1.565554251,,CHB_61553,-1796.6
169,CHB_16695_-1,UMP,-1,-1637.91048,-2150.626208,-1.7197326,0.3725852,CHB_16695,-1637.91048
170,CHB_35425_-1,D-ribose 1-phosphate,-1,-1625.88,-2030.18,-1.356028845,,CHB_35425,-1625.88
171,CHB_52742_-1,D-ribose 5-phosphate,-1,-1623.7,-2045.69,-1.4163379999999999,0.2515,CHB_52742,-1623.7
172,CHB_63528_-1,dTMP,-1,-1504.415776,-2018.227712,-1.72340996,0.40166399999999997,CHB_63528,-1504.415776
173,CHB_17622_-1,dUMP,-1,-1497.800872,-1974.789424,-1.5998766800000002,0.35451032000000005,CHB_17622,-1497.800872
174,CHB_17361_-1,CMP,-1,-1423.175048,-1950.20424,-1.76788294,0.37907040000000003,CHB_17361,-1423.175048
175,CHB_15978_-1,sn-glycerol 3-phosphate,-1,-1397.04,-1722.79,-1.092570854,,CHB_15978,-1397.04
176,CHS_8149841_-1,nicotinamide mononucleotide(reduced),-1,-1357.39,-1915.55,-1.8721269999999999,0.3404,CHS_8149841,-1357.39
177,CHB_16171_-1,nicotinamide mononucleotide,-1,-1345.55,-1889.52,-1.824547,0.08778,CHB_16171,-1345.55
178,CHB_17345_-1,guanosine 5 '-phosphate,-1,-1320.411824,-1900.481584,-1.94565082,0.4955948,CHB_17345,-1320.411824
179,CHB_17202_-1,IMP,-1,-1293.84,-1829.31,-1.79597518,,CHB_17202,-1293.84
180,CHB_15918_-1,dCMP,-1,-1283.0654399999999,-1775.329776,-1.6511231800000001,0.36183232000000004,CHB_15918,-1283.0654399999999
181,CHB_30769_-1,citrate,-1,-1225.543808,-1521.00952,-0.99101472,0.42877632000000004,CHB_30769,-1225.543808
182,CHB_16192_-1,dGMP,-1,-1177.9926480000001,-1740.761568,-1.88759258,0.45630704000000005,CHB_16192,-1177.9926480000001
183,CHB_26078_-1,orthophospate,-1,-1137.3,-1302.6,-0.5544189166526917,-0.02874408,CHB_26078,-1137.3
184,CHB_16027_-1,AMP,-1,-1069.501528,-1624.680672,-1.8621538599999998,0.47860776000000005,CHB_16027,-1069.501528
185,CHB_17713_-1,dAMP,-1,-925.5217200000001,-1448.358544,-1.7537202600000001,0.4422488,CHB_17713,-925.5217200000001
186,CHB_15589_-1,(S)-malate,-1,-872.68,-1079.95,-0.6951869860000001,,CHB_15589,-872.68
187,CHB_16189_-1,sulfate,-1,-755.7559200000001,-889.1,-0.4475179999873553,0.0221752,CHB_16189,-755.7559200000001
188,CHB_30031_-1,succinate,-1,-719.89904,-909.3924000000001,-0.6361872,0.03891120000000001,CHB_30031,-719.89904
189,CHB_30794_-1,malonic acid,-1,-717.68152,-869.6444,-0.5102272,-0.023430399999999997,CHB_30794,-717.68152
190,CHB_17859_-1,glutaric acid,-1,-714.87824,-935.41688,-0.7403904,0.08409840000000002,CHB_17859,-714.87824
191,CHB_29985_-1,L-glutamate,-1,-699.60664,-979.6836000000001,-0.93935826,0.0317984,CHB_29985,-699.60664
192,CHB_29991_-1,L-aspartate,-1,-699.43928,-939.47536,-0.8051139399999999,0.011296800000000001,CHB_29991,-699.43928
193,CHB_16995_-1,oxalate-2,-1,-698.338888,-818.3904,-0.40306400000000003,-0.0681992,CHB_16995,-698.338888
194,CHB_30832_-1,H-adipate-,-1,-697.7656800000001,-950.31192,-0.8479407999999999,0.15104240000000002,CHB_30832,-697.7656800000001
195,CHB_30531_-1,H-pimelate-,-1,-695.6318400000001,-979.22336,-0.952144,0.225936,CHB_30531,-695.6318400000001
196,CHB_9300_-1,suberic acid,-1,-679.2305600000001,-996.33592,-1.0647152000000002,0.3288624,CHB_9300,-679.2305600000001
197,CHB_48131_-1,azelaic acid,-1,-658.93816,-1008.21848,-1.172684,0.41756319999999997,CHB_48131,-658.93816
198,CHB_41865_-1,sebacic acid,-1,-648.68736,-1030.22632,-1.2810712000000002,0.506264,CHB_41865,-648.68736
199,CHB_29806_-1,fumarate,-1,-628.14,-774.46,-0.490759685,,CHB_29806,-628.14
200,CHB_17544_-1,bicarbonate,-1,-586.77,-691.99,-0.35290960925708537,-0.03539664000000001,CHB_17544,-586.77
201,CHB_16004_-1,(R)-lactate,-1,-512.66552,-686.46888,-0.5835184,0.1117128,CHB_16004,-512.66552
202,CHB_29805_-1,glycolate,-1,-506.97528000000005,-647.2648,-0.4709472,0.027196,CHB_29805,-506.97528000000005
203,CHB_1148_-1,2-hydroxybutanoate,-1,-504.38120000000004,-710.48504,-0.6919056,0.2004136,CHB_1148,-504.38120000000004
204,CHB_60647_-1,2-hydroxypentanoic acid,-1,-497.05920000000003,-735.42168,-0.8002928,0.2891144,CHB_60647,-497.05920000000003
205,CHB_86542_-1,2-hydroxyhexanoic acid,-1,-487.6452,-758.30816,-0.9086799999999999,0.3778152,CHB_86542,-487.6452
206,CHB_73752_-1,2-hydroxyheptanoic acid,-1,-479.068,-781.9896,-1.0170672,0.46651600000000004,CHB_73752,-479.068
207,CHB_15361_-1,pyruvate,-1,-472.27,-596.22,-0.415730337,,CHB_15361,-472.27
208,CHB_86543_-1,2-hydroxyoctanoic acid,-1,-470.49080000000004,-805.71288,-1.1254544000000002,0.5552168,CHB_86543,-470.49080000000004
209,CHB_73753_-1,2-hydroxynonanoic acid,-1,-461.99728000000005,-829.478,-1.2338415999999999,0.6439176,CHB_73753,-461.99728000000005
210,PBC_21488_-1,2-hydroxydecanoic acid,-1,-453.46192,-853.24312,-1.3422288,0.7326184,PBC_21488,-453.46192
211,CHB_27869_-1,Monochloroacetic acid,-1,-388.52624,-500.78296,-0.3764973,0.03891120000000001,CHB_27869,-388.52624
212,CHB_30089_-1,acetate,-1,-369.32168,-486.01344,-0.391392,0.025940800000000003,CHB_30089,-369.32168
213,CHB_17272_-1,propionate,-1,-363.08752000000004,-513.08392,-0.503536,0.1292856,CHB_17272,-363.08752000000004
214,CHB_17596_-1,inosine,-1,-358.02,-792.74,-1.4580580239999998,,CHB_17596,-358.02
215,CHB_30772_-1,butanoate,-1,-354.17560000000003,-538.1879200000001,-0.6177808,0.18618800000000002,CHB_30772,-354.17560000000003
216,CHB_15740_-1,formate,-1,-350.878608,-425.42912,-0.24957200000000002,-0.092048,CHB_15740,-350.878608
217,CHB_17418_-1,pentanoic acid,-1,-345.72392,-562.2459200000001,-0.7270048,0.2941352,CHB_17418,-345.72392
218,CHB_30776_-1,hexanoic acid,-1,-336.77016000000003,-585.21608,-0.8341368,0.37656,CHB_30776,-336.77016000000003
219,CHB_17895_-1,L-tyrosine,-1,-332.12592000000006,-625.17328,-0.98289106,0.21422080000000002,CHB_17895,-332.12592000000006
220,CHB_45571_-1,heptanoic acid,-1,-328.5486,-609.27408,-0.942524,0.46526080000000003,CHB_45571,-328.5486
221,CHB_28837_-1,n-octanoic acid,-1,-321.20568,-634.2107199999999,-1.0509112,0.535552,CHB_28837,-321.20568
222,CHB_15428_-1,glycine,-1,-314.97152,-469.8632,-0.5197265,-0.0276144,CHB_15428,-314.97152
223,CHB_29019_-1,nonanoic acid,-1,-312.83768,-656.84616,-1.1592984,0.6426624000000001,CHB_29019,-312.83768
224,CHB_16977_-1,L-alanine,-1,-312.37744,-505.84560000000005,-0.6489905,0.0744752,CHB_16977,-312.37744
225,CHB_30813_-1,n-decanoic acid,-1,-303.17264,-680.7368,-1.2676856,0.7322000000000001,CHB_30813,-303.17264
226,CHB_32368_-1,undecanoic acid,-1,-294.59544,-704.4600800000001,-1.3760728,0.8200640000000001,CHB_32368,-294.59544
227,CHB_17561_-1,L-cysteine,-1,-288.36128,-483.00096,-0.65276066,0.0757304,CHB_17561,-288.36128
228,CHB_30805_-1,1-dodecanoic acid,-1,-286.06008,-728.18336,-1.4844600000000001,0.8819872000000001,CHB_30805,-286.06008
229,CHB_18019_-1,L-lysine,-1,-277.44104000000004,-612.28656,-1.12307932,0.30459519999999995,CHB_18019,-277.44104000000004
230,CHB_36635_-1,4-methylbenzoic acid,-1,-219.57632,-402.33344,-0.6135448,0.274052,CHB_36635,-219.57632
231,CHB_10589_-1,3-methylbenzoic acid,-1,-218.1956,-398.94440000000003,-0.6068504,0.336812,CHB_10589,-218.1956
232,CHB_30746_-1,benzoic acid,-1,-210.8736,-355.59816,-0.4859112,0.21509943999999998,CHB_30746,-210.8736
